Class	variable	value
TB	cg00782174	7
TB	cg00782174	7
TB	cg00782174	7
TB	cg00782174	6
TB	cg00782174	5
TB	cg00782174	5
TB	cg00782174	5
TB	cg00782174	5
TB	cg00782174	5
TB	cg00782174	6
TB	cg00782174	6
TB	cg00782174	5
TB	cg00782174	6
TB	cg00782174	6
TB	cg00782174	5
TB	cg00782174	6
TB	cg00782174	4
TB	cg00782174	6
TB	cg00782174	5
TB	cg00782174	5
TB	cg00782174	5
TB	cg00782174	4
TB	cg00782174	6
TB	cg00782174	4
TB	cg00782174	5
TB	cg00782174	5
TB	cg00782174	5
TB	cg00782174	5
TB	cg00782174	6
TB	cg00782174	5
TB	cg00782174	5
TB	cg00782174	5
TB	cg00782174	0
TB	cg00782174	0
TB	cg00782174	0
TB	cg00782174	0
TB	cg00782174	0
TB	cg00782174	0
TB	cg00782174	0
TB	cg00782174	0
TB	cg00782174	0
TB	cg00782174	33
TB	cg00782174	53
TB	cg00782174	45
TB	cg00782174	51
TB	cg00782174	39
TB	cg00782174	51
TB	cg00782174	46
TB	cg00782174	44
TB	cg00782174	59
TB	cg00782174	44
TB	cg00782174	46
TB	cg00782174	52
TB	cg00782174	50
TB	cg00782174	35
TB	cg00782174	44
TB	cg00782174	39
TB	cg00782174	43
TB	cg00782174	47
TB	cg00782174	47
TB	cg00782174	36
TB	cg00782174	50
TB	cg00782174	41
TB	cg00782174	40
TB	cg00782174	45
TB	cg00782174	52
TB	cg00782174	45
TB	cg00782174	39
TB	cg00782174	37
TB	cg00782174	33
TB	cg00782174	39
TB	cg00782174	42
TB	cg00782174	36
TB	cg00782174	38
TB	cg00782174	47
TB	cg00782174	62
TB	cg00782174	40
TB	cg00782174	46
TB	cg00782174	46
TB	cg00782174	48
TB	cg00782174	41
TB	cg00782174	48
TB	cg00782174	41
TB	cg00782174	58
TB	cg00782174	49
TB	cg00782174	54
TB	cg00782174	39
TB	cg00782174	47
TB	cg00782174	45
TB	cg00782174	43
TB	cg00782174	35
TB	cg00782174	43
TB	cg00782174	48
TB	cg00782174	39
TB	cg00782174	44
TB	cg00782174	51
TB	cg00782174	48
TB	cg00782174	40
HC	cg00782174	35
HC	cg00782174	32
HC	cg00782174	33
HC	cg00782174	29
HC	cg00782174	32
HC	cg00782174	27
HC	cg00782174	26
HC	cg00782174	27
HC	cg00782174	27
HC	cg00782174	22
HC	cg00782174	29
HC	cg00782174	31
HC	cg00782174	24
HC	cg00782174	25
HC	cg00782174	27
HC	cg00782174	25
HC	cg00782174	31
HC	cg00782174	24
HC	cg00782174	26
HC	cg00782174	23
HC	cg00782174	22
HC	cg00782174	27
HC	cg00782174	34
HC	cg00782174	33
HC	cg00782174	27
HC	cg00782174	31
HC	cg00782174	12
HC	cg00782174	11
HC	cg00782174	13
HC	cg00782174	10
HC	cg00782174	12
HC	cg00782174	12
HC	cg00782174	11
HC	cg00782174	15
HC	cg00782174	13
HC	cg00782174	19
HC	cg00782174	21
HC	cg00782174	14
HC	cg00782174	16
HC	cg00782174	15
HC	cg00782174	15
HC	cg00782174	13
HC	cg00782174	31
HC	cg00782174	28
HC	cg00782174	27
HC	cg00782174	22
HC	cg00782174	22
HC	cg00782174	9
HC	cg00782174	9
HC	cg00782174	8
HC	cg00782174	8
HC	cg00782174	7
HC	cg00782174	7
HC	cg00782174	7
HC	cg00782174	9
HC	cg00782174	10
HC	cg00782174	11
HC	cg00782174	7
HC	cg00782174	9
HC	cg00782174	8
HC	cg00782174	10
HC	cg00782174	9
HC	cg00782174	10
HC	cg00782174	9
HC	cg00782174	8
HC	cg00782174	7
HC	cg00782174	6
HC	cg00782174	8
HC	cg00782174	8
HC	cg00782174	7
HC	cg00782174	7
HC	cg00782174	9
HC	cg00782174	6
HC	cg00782174	7
HC	cg00782174	9
HC	cg00782174	35
HC	cg00782174	35
HC	cg00782174	51
HC	cg00782174	41
HC	cg00782174	52
HC	cg00782174	37
HC	cg00782174	40
HC	cg00782174	47
HC	cg00782174	46
HC	cg00782174	35
HC	cg00782174	35
HC	cg00782174	33
HC	cg00782174	28
HC	cg00782174	32
HC	cg00782174	29
HC	cg00782174	35
HC	cg00782174	39
HC	cg00782174	42
HC	cg00782174	40
HC	cg00782174	36
HC	cg00782174	36
HC	cg00782174	35
HC	cg00782174	35
HC	cg00782174	37
HC	cg00782174	40
HC	cg00782174	34
HC	cg00782174	33
HC	cg00782174	38
HC	cg00782174	35
HC	cg00782174	31
HC	cg00782174	42
TB	cg01737507	58
TB	cg01737507	56
TB	cg01737507	61
TB	cg01737507	44
TB	cg01737507	49
TB	cg01737507	49
TB	cg01737507	48
TB	cg01737507	44
TB	cg01737507	46
TB	cg01737507	50
TB	cg01737507	48
TB	cg01737507	50
TB	cg01737507	46
TB	cg01737507	46
TB	cg01737507	45
TB	cg01737507	50
TB	cg01737507	50
TB	cg01737507	48
TB	cg01737507	49
TB	cg01737507	48
TB	cg01737507	45
TB	cg01737507	46
TB	cg01737507	49
TB	cg01737507	45
TB	cg01737507	53
TB	cg01737507	51
TB	cg01737507	50
TB	cg01737507	45
TB	cg01737507	42
TB	cg01737507	49
TB	cg01737507	47
TB	cg01737507	44
TB	cg01737507	0
TB	cg01737507	0
TB	cg01737507	0
TB	cg01737507	0
TB	cg01737507	0
TB	cg01737507	0
TB	cg01737507	0
TB	cg01737507	0
TB	cg01737507	0
TB	cg01737507	6
TB	cg01737507	4
TB	cg01737507	6
TB	cg01737507	5
TB	cg01737507	6
TB	cg01737507	6
TB	cg01737507	3
TB	cg01737507	3
TB	cg01737507	4
TB	cg01737507	6
TB	cg01737507	6
TB	cg01737507	5
TB	cg01737507	5
TB	cg01737507	3
TB	cg01737507	5
TB	cg01737507	5
TB	cg01737507	6
TB	cg01737507	5
TB	cg01737507	3
TB	cg01737507	4
TB	cg01737507	4
TB	cg01737507	4
TB	cg01737507	4
TB	cg01737507	5
TB	cg01737507	5
TB	cg01737507	5
TB	cg01737507	5
TB	cg01737507	5
TB	cg01737507	5
TB	cg01737507	3
TB	cg01737507	5
TB	cg01737507	4
TB	cg01737507	5
TB	cg01737507	6
TB	cg01737507	3
TB	cg01737507	4
TB	cg01737507	4
TB	cg01737507	6
TB	cg01737507	6
TB	cg01737507	5
TB	cg01737507	3
TB	cg01737507	6
TB	cg01737507	4
TB	cg01737507	5
TB	cg01737507	5
TB	cg01737507	5
TB	cg01737507	7
TB	cg01737507	4
TB	cg01737507	5
TB	cg01737507	4
TB	cg01737507	4
TB	cg01737507	5
TB	cg01737507	6
TB	cg01737507	4
TB	cg01737507	5
TB	cg01737507	4
TB	cg01737507	4
HC	cg01737507	1
HC	cg01737507	1
HC	cg01737507	1
HC	cg01737507	0
HC	cg01737507	1
HC	cg01737507	6
HC	cg01737507	7
HC	cg01737507	7
HC	cg01737507	9
HC	cg01737507	8
HC	cg01737507	7
HC	cg01737507	13
HC	cg01737507	7
HC	cg01737507	7
HC	cg01737507	7
HC	cg01737507	8
HC	cg01737507	7
HC	cg01737507	7
HC	cg01737507	7
HC	cg01737507	7
HC	cg01737507	7
HC	cg01737507	7
HC	cg01737507	7
HC	cg01737507	8
HC	cg01737507	6
HC	cg01737507	7
HC	cg01737507	58
HC	cg01737507	57
HC	cg01737507	56
HC	cg01737507	55
HC	cg01737507	59
HC	cg01737507	58
HC	cg01737507	55
HC	cg01737507	55
HC	cg01737507	52
HC	cg01737507	67
HC	cg01737507	64
HC	cg01737507	60
HC	cg01737507	58
HC	cg01737507	60
HC	cg01737507	60
HC	cg01737507	61
HC	cg01737507	8
HC	cg01737507	9
HC	cg01737507	8
HC	cg01737507	8
HC	cg01737507	8
HC	cg01737507	61
HC	cg01737507	59
HC	cg01737507	60
HC	cg01737507	65
HC	cg01737507	57
HC	cg01737507	61
HC	cg01737507	65
HC	cg01737507	61
HC	cg01737507	62
HC	cg01737507	63
HC	cg01737507	64
HC	cg01737507	59
HC	cg01737507	58
HC	cg01737507	61
HC	cg01737507	62
HC	cg01737507	62
HC	cg01737507	64
HC	cg01737507	62
HC	cg01737507	61
HC	cg01737507	61
HC	cg01737507	61
HC	cg01737507	62
HC	cg01737507	58
HC	cg01737507	58
HC	cg01737507	60
HC	cg01737507	59
HC	cg01737507	60
HC	cg01737507	59
HC	cg01737507	5
HC	cg01737507	4
HC	cg01737507	5
HC	cg01737507	3
HC	cg01737507	4
HC	cg01737507	4
HC	cg01737507	5
HC	cg01737507	4
HC	cg01737507	7
HC	cg01737507	5
HC	cg01737507	5
HC	cg01737507	5
HC	cg01737507	7
HC	cg01737507	6
HC	cg01737507	7
HC	cg01737507	5
HC	cg01737507	5
HC	cg01737507	10
HC	cg01737507	5
HC	cg01737507	7
HC	cg01737507	5
HC	cg01737507	7
HC	cg01737507	5
HC	cg01737507	7
HC	cg01737507	5
HC	cg01737507	5
HC	cg01737507	6
HC	cg01737507	7
HC	cg01737507	5
HC	cg01737507	7
HC	cg01737507	6
TB	cg06497752	38
TB	cg06497752	38
TB	cg06497752	40
TB	cg06497752	38
TB	cg06497752	37
TB	cg06497752	38
TB	cg06497752	37
TB	cg06497752	36
TB	cg06497752	38
TB	cg06497752	38
TB	cg06497752	38
TB	cg06497752	37
TB	cg06497752	36
TB	cg06497752	38
TB	cg06497752	37
TB	cg06497752	37
TB	cg06497752	37
TB	cg06497752	37
TB	cg06497752	39
TB	cg06497752	37
TB	cg06497752	38
TB	cg06497752	39
TB	cg06497752	37
TB	cg06497752	35
TB	cg06497752	37
TB	cg06497752	38
TB	cg06497752	37
TB	cg06497752	38
TB	cg06497752	43
TB	cg06497752	36
TB	cg06497752	37
TB	cg06497752	38
TB	cg06497752	0
TB	cg06497752	16.5
TB	cg06497752	0
TB	cg06497752	0
TB	cg06497752	0
TB	cg06497752	0
TB	cg06497752	0
TB	cg06497752	0
TB	cg06497752	0
TB	cg06497752	4
TB	cg06497752	3
TB	cg06497752	4
TB	cg06497752	4
TB	cg06497752	3
TB	cg06497752	5
TB	cg06497752	4
TB	cg06497752	4
TB	cg06497752	5
TB	cg06497752	3
TB	cg06497752	3
TB	cg06497752	3
TB	cg06497752	3
TB	cg06497752	5
TB	cg06497752	3
TB	cg06497752	3
TB	cg06497752	4
TB	cg06497752	4
TB	cg06497752	2
TB	cg06497752	2
TB	cg06497752	2
TB	cg06497752	4
TB	cg06497752	3
TB	cg06497752	3
TB	cg06497752	3
TB	cg06497752	3
TB	cg06497752	3
TB	cg06497752	4
TB	cg06497752	3
TB	cg06497752	3
TB	cg06497752	3
TB	cg06497752	4
TB	cg06497752	4
TB	cg06497752	3
TB	cg06497752	3
TB	cg06497752	4
TB	cg06497752	4
TB	cg06497752	3
TB	cg06497752	3
TB	cg06497752	4
TB	cg06497752	3
TB	cg06497752	4
TB	cg06497752	3
TB	cg06497752	3
TB	cg06497752	3
TB	cg06497752	4
TB	cg06497752	3
TB	cg06497752	4
TB	cg06497752	5
TB	cg06497752	3
TB	cg06497752	3
TB	cg06497752	3
TB	cg06497752	4
TB	cg06497752	3
TB	cg06497752	3
TB	cg06497752	2
TB	cg06497752	4
HC	cg06497752	1
HC	cg06497752	0
HC	cg06497752	0
HC	cg06497752	2
HC	cg06497752	2
HC	cg06497752	4
HC	cg06497752	5
HC	cg06497752	5
HC	cg06497752	5
HC	cg06497752	5
HC	cg06497752	9
HC	cg06497752	4
HC	cg06497752	4
HC	cg06497752	5
HC	cg06497752	5
HC	cg06497752	5
HC	cg06497752	5
HC	cg06497752	11
HC	cg06497752	4
HC	cg06497752	9
HC	cg06497752	4
HC	cg06497752	5
HC	cg06497752	4
HC	cg06497752	4
HC	cg06497752	5
HC	cg06497752	5
HC	cg06497752	42
HC	cg06497752	42
HC	cg06497752	44
HC	cg06497752	43
HC	cg06497752	42
HC	cg06497752	43
HC	cg06497752	43
HC	cg06497752	42
HC	cg06497752	44
HC	cg06497752	44
HC	cg06497752	44
HC	cg06497752	43
HC	cg06497752	43
HC	cg06497752	41
HC	cg06497752	42
HC	cg06497752	42
HC	cg06497752	4
HC	cg06497752	6
HC	cg06497752	4
HC	cg06497752	6
HC	cg06497752	5
HC	cg06497752	42
HC	cg06497752	42
HC	cg06497752	40
HC	cg06497752	41
HC	cg06497752	41
HC	cg06497752	40
HC	cg06497752	41
HC	cg06497752	39
HC	cg06497752	40
HC	cg06497752	39
HC	cg06497752	42
HC	cg06497752	40
HC	cg06497752	40
HC	cg06497752	38
HC	cg06497752	42
HC	cg06497752	42
HC	cg06497752	42
HC	cg06497752	42
HC	cg06497752	40
HC	cg06497752	40
HC	cg06497752	40
HC	cg06497752	38
HC	cg06497752	41
HC	cg06497752	41
HC	cg06497752	43
HC	cg06497752	41
HC	cg06497752	40
HC	cg06497752	40
HC	cg06497752	4
HC	cg06497752	4
HC	cg06497752	3
HC	cg06497752	3
HC	cg06497752	3
HC	cg06497752	4
HC	cg06497752	3
HC	cg06497752	4
HC	cg06497752	4
HC	cg06497752	3
HC	cg06497752	3
HC	cg06497752	4
HC	cg06497752	5
HC	cg06497752	5
HC	cg06497752	5
HC	cg06497752	7
HC	cg06497752	5
HC	cg06497752	6
HC	cg06497752	4
HC	cg06497752	5
HC	cg06497752	9
HC	cg06497752	5
HC	cg06497752	4
HC	cg06497752	3
HC	cg06497752	3
HC	cg06497752	5
HC	cg06497752	3
HC	cg06497752	4
HC	cg06497752	4
HC	cg06497752	5
HC	cg06497752	5
TB	cg10140638	31
TB	cg10140638	38
TB	cg10140638	39
TB	cg10140638	28
TB	cg10140638	29
TB	cg10140638	29
TB	cg10140638	31
TB	cg10140638	28
TB	cg10140638	33
TB	cg10140638	31
TB	cg10140638	27
TB	cg10140638	26
TB	cg10140638	30
TB	cg10140638	29
TB	cg10140638	30
TB	cg10140638	31
TB	cg10140638	30
TB	cg10140638	29
TB	cg10140638	31
TB	cg10140638	29
TB	cg10140638	31
TB	cg10140638	27
TB	cg10140638	30
TB	cg10140638	29
TB	cg10140638	31
TB	cg10140638	29
TB	cg10140638	28
TB	cg10140638	26
TB	cg10140638	34
TB	cg10140638	29
TB	cg10140638	26
TB	cg10140638	27
TB	cg10140638	0
TB	cg10140638	0
TB	cg10140638	0
TB	cg10140638	0
TB	cg10140638	0
TB	cg10140638	16.5
TB	cg10140638	0
TB	cg10140638	0
TB	cg10140638	0
TB	cg10140638	8
TB	cg10140638	7
TB	cg10140638	6
TB	cg10140638	6
TB	cg10140638	4
TB	cg10140638	10
TB	cg10140638	4
TB	cg10140638	4
TB	cg10140638	7
TB	cg10140638	5
TB	cg10140638	4
TB	cg10140638	5
TB	cg10140638	6
TB	cg10140638	5
TB	cg10140638	5
TB	cg10140638	5
TB	cg10140638	5
TB	cg10140638	4
TB	cg10140638	5
TB	cg10140638	6
TB	cg10140638	8
TB	cg10140638	5
TB	cg10140638	4
TB	cg10140638	5
TB	cg10140638	4
TB	cg10140638	8
TB	cg10140638	6
TB	cg10140638	5
TB	cg10140638	6
TB	cg10140638	5
TB	cg10140638	5
TB	cg10140638	4
TB	cg10140638	7
TB	cg10140638	4
TB	cg10140638	7
TB	cg10140638	6
TB	cg10140638	6
TB	cg10140638	7
TB	cg10140638	4
TB	cg10140638	5
TB	cg10140638	5
TB	cg10140638	5
TB	cg10140638	6
TB	cg10140638	5
TB	cg10140638	5
TB	cg10140638	6
TB	cg10140638	6
TB	cg10140638	7
TB	cg10140638	6
TB	cg10140638	5
TB	cg10140638	5
TB	cg10140638	6
TB	cg10140638	6
TB	cg10140638	4
TB	cg10140638	5
TB	cg10140638	5
TB	cg10140638	9
HC	cg10140638	4
HC	cg10140638	5
HC	cg10140638	4
HC	cg10140638	3
HC	cg10140638	4
HC	cg10140638	23
HC	cg10140638	19
HC	cg10140638	20
HC	cg10140638	19
HC	cg10140638	23
HC	cg10140638	21
HC	cg10140638	28
HC	cg10140638	24
HC	cg10140638	27
HC	cg10140638	20
HC	cg10140638	21
HC	cg10140638	29
HC	cg10140638	28
HC	cg10140638	21
HC	cg10140638	24
HC	cg10140638	25
HC	cg10140638	25
HC	cg10140638	23
HC	cg10140638	25
HC	cg10140638	26
HC	cg10140638	22
HC	cg10140638	39
HC	cg10140638	42
HC	cg10140638	40
HC	cg10140638	41
HC	cg10140638	43
HC	cg10140638	44
HC	cg10140638	37
HC	cg10140638	38
HC	cg10140638	41
HC	cg10140638	48
HC	cg10140638	52
HC	cg10140638	43
HC	cg10140638	44
HC	cg10140638	44
HC	cg10140638	45
HC	cg10140638	45
HC	cg10140638	16
HC	cg10140638	11
HC	cg10140638	13
HC	cg10140638	13
HC	cg10140638	12
HC	cg10140638	38
HC	cg10140638	33
HC	cg10140638	40
HC	cg10140638	38
HC	cg10140638	40
HC	cg10140638	37
HC	cg10140638	39
HC	cg10140638	39
HC	cg10140638	38
HC	cg10140638	41
HC	cg10140638	41
HC	cg10140638	39
HC	cg10140638	40
HC	cg10140638	37
HC	cg10140638	41
HC	cg10140638	39
HC	cg10140638	39
HC	cg10140638	38
HC	cg10140638	40
HC	cg10140638	36
HC	cg10140638	38
HC	cg10140638	40
HC	cg10140638	41
HC	cg10140638	38
HC	cg10140638	43
HC	cg10140638	40
HC	cg10140638	37
HC	cg10140638	42
HC	cg10140638	7
HC	cg10140638	10
HC	cg10140638	6
HC	cg10140638	6
HC	cg10140638	4
HC	cg10140638	8
HC	cg10140638	5
HC	cg10140638	6
HC	cg10140638	6
HC	cg10140638	6
HC	cg10140638	5
HC	cg10140638	6
HC	cg10140638	6
HC	cg10140638	8
HC	cg10140638	10
HC	cg10140638	10
HC	cg10140638	7
HC	cg10140638	8
HC	cg10140638	7
HC	cg10140638	9
HC	cg10140638	6
HC	cg10140638	6
HC	cg10140638	8
HC	cg10140638	10
HC	cg10140638	8
HC	cg10140638	6
HC	cg10140638	8
HC	cg10140638	12
HC	cg10140638	9
HC	cg10140638	9
HC	cg10140638	8
TB	cg10453758	73
TB	cg10453758	80
TB	cg10453758	69
TB	cg10453758	43
TB	cg10453758	21
TB	cg10453758	62
TB	cg10453758	31
TB	cg10453758	47
TB	cg10453758	22
TB	cg10453758	39
TB	cg10453758	44
TB	cg10453758	64
TB	cg10453758	26
TB	cg10453758	24
TB	cg10453758	41
TB	cg10453758	32
TB	cg10453758	24
TB	cg10453758	49
TB	cg10453758	19
TB	cg10453758	35
TB	cg10453758	28
TB	cg10453758	61
TB	cg10453758	21
TB	cg10453758	31
TB	cg10453758	59
TB	cg10453758	24
TB	cg10453758	24
TB	cg10453758	13
TB	cg10453758	52
TB	cg10453758	31
TB	cg10453758	21
TB	cg10453758	60
TB	cg10453758	83
TB	cg10453758	64
TB	cg10453758	70.5
TB	cg10453758	63
TB	cg10453758	90
TB	cg10453758	55
TB	cg10453758	64
TB	cg10453758	83
TB	cg10453758	100
TB	cg10453758	34
TB	cg10453758	38
TB	cg10453758	31
TB	cg10453758	32
TB	cg10453758	31
TB	cg10453758	28
TB	cg10453758	32
TB	cg10453758	34
TB	cg10453758	27
TB	cg10453758	33
TB	cg10453758	28
TB	cg10453758	28
TB	cg10453758	30
TB	cg10453758	40
TB	cg10453758	33
TB	cg10453758	33
TB	cg10453758	32
TB	cg10453758	27
TB	cg10453758	37
TB	cg10453758	29
TB	cg10453758	28
TB	cg10453758	27
TB	cg10453758	32
TB	cg10453758	43
TB	cg10453758	33
TB	cg10453758	34
TB	cg10453758	34
TB	cg10453758	24
TB	cg10453758	41
TB	cg10453758	26
TB	cg10453758	31
TB	cg10453758	37
TB	cg10453758	39
TB	cg10453758	44
TB	cg10453758	30
TB	cg10453758	37
TB	cg10453758	25
TB	cg10453758	28
TB	cg10453758	37
TB	cg10453758	23
TB	cg10453758	28
TB	cg10453758	36
TB	cg10453758	31
TB	cg10453758	35
TB	cg10453758	36
TB	cg10453758	37
TB	cg10453758	36
TB	cg10453758	31
TB	cg10453758	34
TB	cg10453758	29
TB	cg10453758	29
TB	cg10453758	31
TB	cg10453758	31
TB	cg10453758	30
TB	cg10453758	39
TB	cg10453758	34
TB	cg10453758	30
HC	cg10453758	67
HC	cg10453758	69
HC	cg10453758	62
HC	cg10453758	56
HC	cg10453758	56
HC	cg10453758	56
HC	cg10453758	61
HC	cg10453758	53
HC	cg10453758	54
HC	cg10453758	56
HC	cg10453758	59
HC	cg10453758	61
HC	cg10453758	52
HC	cg10453758	52
HC	cg10453758	61
HC	cg10453758	54
HC	cg10453758	53
HC	cg10453758	47
HC	cg10453758	56
HC	cg10453758	60
HC	cg10453758	49
HC	cg10453758	57
HC	cg10453758	52
HC	cg10453758	49
HC	cg10453758	57
HC	cg10453758	56
HC	cg10453758	73
HC	cg10453758	74
HC	cg10453758	65
HC	cg10453758	70
HC	cg10453758	72
HC	cg10453758	66
HC	cg10453758	73
HC	cg10453758	67
HC	cg10453758	62
HC	cg10453758	70
HC	cg10453758	76
HC	cg10453758	68
HC	cg10453758	69
HC	cg10453758	62
HC	cg10453758	67
HC	cg10453758	50
